"SLIC","SLIC_Name","SLIC_Type","SLIC_State","OpTyp","SORT","CAP","SPAN","STRT","Facility.x","Facility.y"
"9830","PORT ANGELES","CTR","WA","PKG","L",5404,328,1700,-1.2187536735579,1.58850816298722
"9751","GRANTS PASS","CTR","OR","PKG","L",5426,328,1700,-1.30763145530505,1.54010057400307
"9549","UKIAH LOCAL SORT","HUB","CA","HUB","L",5087,328,1700,-1.35803644452146,1.51194245829855
"9731","CORVALLIS","CTR","OR","PKG","L",5739,328,1700,-1.27212062159073,1.55617673045967
"9769","EUGENE","HUB","OR","HUB","L",4108,328,1700,-1.28109393260026,1.55052930587696
"9730","SALEM","CTR","OR","PKG","L",6067,328,1700,-1.26636276816045,1.55811421617337
"9799","SPRINGFIELD","HUB","OR","HUB","L",6242,328,1700,-1.28054066403853,1.55020251245686
"9545","LAKEPORT","CTR","CA","PKG","L",3570,328,1700,-1.3578736885436,1.50786051086416
"9852","CHEHALIS","CTR","WA","PKG","L",5234,328,1700,-1.23996887610011,1.57096505322519
"9850","TUMWATER","CTR","WA","PKG","L",4378,328,1700,-1.23408355533332,1.57405142309915
"9750","MEDFORD-MEDFORD","CTR","OR","PKG","A",1159999,150,900,-1.306648121637,1.53492031932665
"9860","KELSO (9702)","CTR","WA","PKG","L",4700,328,1700,-1.24757908152805,1.56656176316823
"9832","PORT TOWNSEND","CTR","WA","PKG","L",2533,328,1700,-1.21656222086461,1.58219576138016
"9709","TUALATIN","HUB","OR","HUB","P",11394,403,400,-1.25864341032698,1.55905626849321
"9540","SANTA ROSA-SANTA ROSA","CTR","CA","PKG","L",5376,328,1700,-1.36526629349802,1.50095888382048
"9729","PORTLAND","HUB","OR","HUB","D",86000,478,1100,-1.25521248780334,1.55992848936626
"9831","BREMERTON","CTR","WA","PKG","L",4207,328,1700,-1.22376548903392,1.57667793604238
"9601","YREKA","CTR","CA","PKG","L",3655,328,1700,-1.31493295205678,1.52669312170161
"9879","VANCOUVER HUB","HUB","WA","HUB","L",5594,328,1700,-1.25317611132537,1.55987661408906
"9719","PORTLAND-AIR SORT","ARPT","OR","APT","S",23625,403,300,-1.25435349405057,1.55881454223835
"9491","PETALUMA-PETALUMA","CTR","CA","PKG","P",6038,403,400,-1.36806285841029,1.49710327811297
"9490","SAN RAFAEL CENTER","CTR","CA","PKG","L",5816,328,1700,-1.37162902530833,1.4937652445613
"9822","BELLINGHAM","CTR","WA","PKG","L",5274,328,1700,-1.2026380696365,1.58457538170135
"9410","SAN FRANCISCO-MARINA","CTR","CA","PKG","P",790000,403,400,-1.37393795448271,1.49107890795934
"9449","SAN BRUNO","HUB","CA","HUB","N",29817,403,2200,-1.3753926634871,1.48992733840709
"9849","FIFE","HUB","WA","HUB","L",3501,328,1700,-1.22679242387783,1.57030755456828
"9489","NORTH BAY HUB","HUB","CA","HUB","D",64000,478,1100,-1.37005391225379,1.49232420584725
"9821","BURLINGTON","CTR","WA","PKG","L",4861,328,1700,-1.20723732074851,1.58044125051597
"9819","SEATTLE","HUB","WA","HUB","P",13242,403,400,-1.22142604401032,1.57269026524843
"9469","OAKLAND HUB","HUB","CA","HUB","N",35000,403,2200,-1.37269805919609,1.4902750402591
"9839","BOEING FLD AIR SORT","ARPT","WA","APT","S",4590,403,300,-1.22175418496859,1.5721551159175
"9444","NAPA","CTR","CA","PKG","L",2732,328,1700,-1.36568449576739,1.49351500099929
"9809","TUKWILA","HUB","WA","HUB","L",14085,328,1700,-1.22279290172633,1.57098007799767
"9876","PACIFIC - AUBURN","CTR","WA","PKG","P",770000,403,400,-1.22589358550277,1.56926600007525
"9816","EVERETT CPU","CPU","WA","CPU","L",840000,328,1700,-1.21550724332722,1.57483622524546
"9479","OAKLAND ARPT","ARPT","CA","APT","S",15485,403,300,-1.37344126171768,1.48836419713334
"9453","CORDELIA","CTR","CA","PKG","L",2597,328,1700,-1.36542978234105,1.49159561268823
"9823","ARLINGTON","CTR","WA","PKG","L",4941,328,1700,-1.20934954188978,1.57668715296065
"9829","REDMOND","HUB","WA","HUB","N",35000,403,2200,-1.21835189609806,1.5712830990301
"9452","CONCORD-CONCORD","CTR","CA","PKG","L",2259,328,1700,-1.3680392906644,1.48873568762632
"9500","SANTA CRUZ-SANTA CRU","CTR","CA","PKG","L",3663,328,1700,-1.38336317964216,1.4801295656654
"9409","SUNNYVALE","HUB","CA","HUB","P",25354,403,400,-1.37666379078979,1.483099107649
"9459","SAN RAMON LOCAL SORT","HUB","CA","HUB","L",7194,328,1700,-1.37096871882743,1.48590639174451
"9519","SAN JOSE","HUB","CA","HUB","P",12334,403,400,-1.37727594732124,1.48071878114838
"9591","CHICO","CTR","CA","PKG","L",4583,328,1700,-1.34046461303871,1.5002733960146
"9391","MONTEREY","CTR","CA","PKG","L",2171,328,1700,-1.38808762030633,1.47399036421214
"9629","KLAMATH FALLS HUB","HUB","OR","HUB","L",7282,328,1700,-1.30133886414631,1.52138965289675
"9390","SALINAS","CTR","CA","PKG","L",2922,328,1700,-1.38538332024367,1.47334211750851
"9590","YUBA CITY","CTR","CA","PKG","L",5511,328,1700,-1.34796079057162,1.49221292747788
"9589","SACRAMENTO","HUB","CA","HUB","D",31000,478,1100,-1.35601463865716,1.48751600464768
"9556","CORDOVA","CTR","CA","PKG","L",5770,328,1700,-1.35466885476076,1.48489836948121
"9569","MATHER AIRPORT","ARPT","CA","APT","S",1840,403,300,-1.35465174794462,1.48458459059367
"9770","BEND","CTR","OR","PKG","L",940000,328,1700,-1.27003114416778,1.53148454781445
"9520","DELTA","CTR","CA","PKG","L",3908,328,1700,-1.36308316213772,1.47899566045391
"9579","ROCKLIN LOCAL SORT","HUB","CA","HUB","L",3907,328,1700,-1.35042302696634,1.48560023602492
"9701","THE DALLES (9862)","CTR","OR","PKG","L",5097,328,1700,-1.24550258105023,1.54337624618021
"9593","GRASS VALLEY","CTR","CA","PKG","L",6390,328,1700,-1.34266365554721,1.48668284683472
"9592","QUINCY","CTR","CA","PKG","L",1855,328,1700,-1.33128388496678,1.49162028119363
"9530","MODESTO-CERES","CTR","CA","PKG","L",3719,328,1700,-1.3670719792855,1.4713488047209
"9340","SAN LUIS OBISPO-SLO","CTR","CA","PKG","L",5100,328,1700,-1.40006235606923,1.44865137909406
"9610","SUSANVILLE","CTR","CA","PKG","L",1548,328,1700,-1.32224335043678,1.49147984912201
"9891","ELLENSBURG","CTR","WA","PKG","L",2820,328,1700,-1.2199014471002,1.54871340738245
"9603","BURNEY","CTR","CA","PKG","P",1239999,403,400,-1.30503956640203,1.50061527927948
"9532","ANGELS CAMP","CTR","CA","PKG","L",4800,328,1700,-1.35716575941665,1.47103395751207
"9531","MERCED","CTR","CA","PKG","L",7025,328,1700,-1.36845576094059,1.46397141842755
"9890","YAKIMA","CTR","WA","PKG","L",4700,328,1700,-1.2262315521483,1.54417453489222
"9880","WENATCHEE","CTR","WA","PKG","L",7321,328,1700,-1.21116320437408,1.55056355069698
"9571","SOUTH LAKE TAHOE","CTR","CA","PKG","L",6070,328,1700,-1.34075139323741,1.47220866754942
"9379","FRESNO","HUB","CA","HUB","P",20665,403,400,-1.37177836668058,1.45162389809054
"9310","SANTA BARBARA","CTR","CA","PKG","L",5509,328,1700,-1.40671395399756,1.43158593204149
"8979","RENO AIR SORT","ARPT","NV","APT","T",2040,403,1700,-1.3300561666003,1.4746918367827
"8959","RENO","HUB","NV","HUB","D",81000,478,1100,-1.32957960618237,1.47464879550246
"9882","OMAK","CTR","WA","PKG","L",3398,328,1700,-1.19454913843386,1.5512909518715
"9320","VISALIA-VISALIA","CTR","CA","PKG","L",11169,328,1700,-1.37507751873257,1.44268737230818
"9789","HERMISTON","HUB","OR","HUB","N",20000,403,2200,-1.23051732412951,1.52536012959664
"9889","MOSES LAKE HUB","HUB","WA","HUB","L",5286,328,1700,-1.21039119500642,1.53643050278096
"9300","VENTURA-VENTURA","CTR","CA","PKG","L",3774,328,1700,-1.40518049023663,1.42262512641016
"9930","KENNEWICK","CTR","WA","PKG","L",5294,328,1700,-1.22363074924688,1.52727099800967
"9771","JOHN DAY -BURNS R","CTR","OR","PKG","L",3717,328,1700,-1.26328059979998,1.50226582162309
"9330","BAKERSFIELD-BAKRSFLD","CTR","CA","PKG","L",4407,328,1700,-1.38675691077173,1.43019189998271
"9913","GRAND COULEE","CTR","WA","PKG","L",2197,328,1700,-1.19569259547304,1.54085148272573
"9779","JOHN DAY HUB","HUB","OR","HUB","L",3534,328,1700,-1.24999984126902,1.50865522839379
"9132","NEWBURY PARK","CTR","CA","PKG","L",8253,328,1700,-1.40375614448792,1.41845496041498
"8941","FALLON","CTR","NV","PKG","L",5415,328,1700,-1.32415754906159,1.46375828536483
"9780","PENDLETON","CTR","OR","PKG","L",1844,328,1700,-1.22974559353189,1.51810118118758
"9149","VAN NUYS","HUB","CA","HUB","P",19903,403,400,-1.40036683757269,1.41313553198623
"9352","LANCASTER-BISHOP R","CTR","CA","PKG","L",3452,328,1700,-1.35308957590359,1.44049527370439
"9003","BAY-BAY","CTR","CA","PKG","L",4409,328,1700,-1.40239847581975,1.41111143353446
"9139","SAN FERNANDO","HUB","CA","HUB","N",43000,403,2200,-1.3986295575784,1.41297613673803
"9072","LA INT'L AIRPORT","ARPT","CA","APT","S",760000,403,300,-1.40366062551491,1.40956106564956
"9141","BURBANK AIRPORT","ARPT","CA","APT","L",770000,328,1700,-1.3997829978705,1.41148820305739
"9089","GARDENA","HUB","CA","HUB","P",12603,403,400,-1.40413675295788,1.40805897762082
"9931","WALLA WALLA","CTR","WA","PKG","L",3506,328,1700,-1.21983674471024,1.51629158670683
